WLCverse,curr,ckind
128,c503,Verbal clauses
128,c504,Verbal clauses
128,c505,Verbal clauses
129,c506,Verbal clauses
130,c507,Verbal clauses
130,c508,Nominal clauses
130,c509,Verbal clauses
131,c510,Verbal clauses
131,c511,Verbal clauses
132,c512,Verbal clauses
132,c513,Verbal clauses
132,c514,Verbal clauses
132,c515,Verbal clauses
133,c516,Verbal clauses
133,c517,Verbal clauses
134,c518,Verbal clauses
134,c519,Verbal clauses
135,c520,Verbal clauses
135,c521,Verbal clauses
135,c522,Verbal clauses
135,c523,Verbal clauses
136,c524,Verbal clauses
136,c525,Verbal clauses
136,c526,Verbal clauses
136,c527,Verbal clauses
137,c528,Verbal clauses
137,c529,Verbal clauses
138,c530,Verbal clauses
138,c531,Verbal clauses
139,c532,Verbal clauses
139,c533,Verbal clauses
139,c534,Verbal clauses
139,c535,Verbal clauses
140,c536,Verbal clauses
140,c537,Nominal clauses
140,c538,Verbal clauses
140,c539,Verbal clauses
141,c540,Verbal clauses
141,c541,Verbal clauses
141,c542,Nominal clauses
141,c543,Verbal clauses
142,c544,Verbal clauses
142,c545,Clauses without predication
142,c546,Verbal clauses
142,c547,Verbal clauses
142,c548,Nominal clauses
142,c549,Nominal clauses
142,c550,Nominal clauses
143,c551,Verbal clauses
143,c552,Nominal clauses
143,c553,Nominal clauses
144,c554,Verbal clauses
144,c555,Verbal clauses
144,c556,Verbal clauses
145,c557,Verbal clauses
145,c558,Verbal clauses
145,c559,Verbal clauses
145,c560,Verbal clauses
145,c561,Verbal clauses
145,c562,Verbal clauses
146,c563,Verbal clauses
147,c564,Nominal clauses
147,c565,Verbal clauses
147,c566,Verbal clauses
148,c567,Verbal clauses
149,c568,Verbal clauses
149,c569,Verbal clauses
150,c570,Verbal clauses
150,c571,Verbal clauses
150,c572,Verbal clauses
151,c573,Verbal clauses
151,c574,Verbal clauses
151,c575,Verbal clauses
151,c576,Verbal clauses
152,c577,Verbal clauses
152,c578,Verbal clauses
152,c579,Verbal clauses
153,c580,Nominal clauses
