WLCverse,curr,ctype
77,c324,Wayyiqtol-null clause
78,c325,Wayyiqtol-X clause
78,c326,X-qatal clause
78,c327,Infinitive construct clause
78,c328,Macrosyntactic sign
78,c329,x-yiqtol-null clause
78,c330,We-qatal-null clause
78,c331,We-qatal-null clause
78,c332,We-qatal-null clause
79,c333,Wayyiqtol-X clause
79,c334,Infinitive construct clause
79,c335,x-qatal-null clause
80,c336,Wayyiqtol-null clause
80,c337,Wayyiqtol-null clause
80,c338,Participle clause
80,c339,Infinitive construct clause
81,c340,We-X-qatal clause
81,c341,Wayyiqtol-null clause
81,c342,Wayyiqtol-null clause
81,c343,Wayyiqtol-null clause
81,c344,Zero-qatal-null clause
82,c345,Wayyiqtol-null clause
82,c346,Infinitive construct clause
82,c347,Wayyiqtol-X clause
82,c348,We-X-qatal clause
83,c349,Wayyiqtol-null clause
83,c350,Wayyiqtol-X clause
84,c351,We-X-qatal clause
84,c352,Wayyiqtol-X clause
85,c353,We-x-qatal-null clause
85,c354,Wayyiqtol-null clause
85,c355,Wayyiqtol-X clause
86,c356,Wayyiqtol-X clause
86,c357,x-qatal-null clause
86,c358,We-x-qatal-X clause
87,c359,Nominal clause
87,c360,x-yiqtol-null clause
87,c361,Nominal clause
87,c362,We-x-yiqtol-null clause
87,c363,Participle clause
87,c364,Nominal clause
87,c365,We-X-yiqtol clause
88,c366,Wayyiqtol-X clause
88,c367,Wayyiqtol-null clause
88,c368,Infinitive construct clause
88,c369,Wayyiqtol-X clause
88,c370,Wayyiqtol-null clause
89,c371,Wayyiqtol-X clause
89,c372,Nominal clause
89,c373,Wayyiqtol-null clause
89,c374,x-qatal-null clause
89,c375,Participle clause
90,c376,Wayyiqtol-null clause
90,c377,x-qatal-null clause
90,c378,Participle clause
91,c379,Macrosyntactic sign
91,c380,Participle clause
91,c381,x-qatal-null clause
91,c382,Infinitive construct clause
92,c383,x-yiqtol-null clause
92,c384,x-yiqtol-null clause
92,c385,Infinitive construct clause
92,c386,x-yiqtol-null clause
93,c387,Wayyiqtol-X clause
93,c388,Adjective clause
93,c389,Infinitive construct clause
94,c390,x-qatal-null clause
94,c391,We-x-yiqtol-null clause
94,c392,We-qatal-null clause
94,c393,Macrosyntactic sign
94,c394,X-yiqtol clause
94,c395,Participle clause
94,c396,X-yiqtol clause
95,c397,Wayyiqtol-X clause
95,c398,Nominal clause
95,c399,X-yiqtol clause
95,c400,Wayyiqtol-X clause
95,c401,Infinitive construct clause
96,c402,Wayyiqtol-X clause
96,c403,Wayyiqtol-null clause
97,c404,Wayyiqtol-X clause
97,c405,Wayyiqtol-null clause
97,c406,Wayyiqtol-null clause
97,c407,Wayyiqtol-X clause
97,c408,Participle clause
97,c409,Wayyiqtol-null clause
98,c410,Wayyiqtol-X clause
98,c411,We-X-qatal clause
98,c412,We-X-qatal clause
98,c413,We-X-qatal clause
99,c414,Wayyiqtol-X clause
99,c415,Nominal clause
99,c416,Nominal clause
100,c417,Wayyiqtol-X clause
100,c418,X-qatal clause
101,c419,Nominal clause
101,c420,X-qatal clause
102,c421,We-X-qatal clause
102,c422,Nominal clause
102,c423,Nominal clause
103,c424,Wayyiqtol-X clause
103,c425,Zero-imperative-null clause
103,c426,Vocative clause
103,c427,Zero-imperative-null clause
103,c428,x-qatal-null clause
103,c429,Ellipsis
104,c430,x-yiqtol-X clause
104,c431,Ellipsis
105,c432,Wayyiqtol-X clause
105,c433,Wayyiqtol-null clause
105,c434,Wayyiqtol-null clause
105,c435,x-qatal-X clause
105,c436,x-qatal-X clause
106,c437,We-x-qatal-X clause
106,c438,Wayyiqtol-null clause
106,c439,x-qatal-null clause
106,c440,Infinitive construct clause
107,c441,Nominal clause
107,c442,x-qatal-null clause
107,c443,Infinitive construct clause
107,c444,x-qatal-null clause
108,c445,x-qatal-null clause
108,c446,Wayyiqtol-null clause
108,c447,Wayyiqtol-null clause
