index	transLemma	hebLemma	internalOrd	subheader	header	headerNumber	StrongNo
1	eat	אָכַל	1	Verbs occurring 500-5000 times	Verbs	1	398
2	say	אָמַר	2	Verbs occurring 500-5000 times	Verbs	1	559
3	enter, come	בּוֹא	3	Verbs occurring 500-5000 times	Verbs	1	935
4	speak (Pi.)	דִּבֶּר	4	Verbs occurring 500-5000 times	Verbs	1	1696
5	be, become	הָיָה	5	Verbs occurring 500-5000 times	Verbs	1	1961
6	go, walk	הָלַך	6	Verbs occurring 500-5000 times	Verbs	1	1980
7	know	יָדַע	7	Verbs occurring 500-5000 times	Verbs	1	3045
8	bring forth	יָלַד	8	Verbs occurring 500-5000 times	Verbs	1	3205
9	go out	יָצָא	9	Verbs occurring 500-5000 times	Verbs	1	3318
10	sit, dwell	יָשַׁב	10	Verbs occurring 500-5000 times	Verbs	1	3427
11	take, seize	לָקַח	11	Verbs occurring 500-5000 times	Verbs	1	3947
12	die	מוּת	12	Verbs occurring 500-5000 times	Verbs	1	4191
13	lift up, carry	נָשָׂא	13	Verbs occurring 500-5000 times	Verbs	1	5375
14	give	נָתַן	14	Verbs occurring 500-5000 times	Verbs	1	5414
15	go up	עָלָה	15	Verbs occurring 500-5000 times	Verbs	1	5927
16	do, make	עָשָׂה	16	Verbs occurring 500-5000 times	Verbs	1	6213
17	call, meet	קָרָא	17	Verbs occurring 500-5000 times	Verbs	1	7121
18	see	רָאָה	18	Verbs occurring 500-5000 times	Verbs	1	7200
19	set, place	שִׂים	19	Verbs occurring 500-5000 times	Verbs	1	7760
20	turn, return	שׁוּב	20	Verbs occurring 500-5000 times	Verbs	1	7725
21	stretch out, send	שָׁלַח	21	Verbs occurring 500-5000 times	Verbs	1	7971
22	hear, listen to	שָׁמַע	22	Verbs occurring 500-5000 times	Verbs	1	8085
23	love	אָהַב	23	Verbs occurring 200-500 times	Verbs	2	157
24	gather	אָסַף	24	Verbs occurring 200-500 times	Verbs	2	622
25	build	בָּנָה	25	Verbs occurring 200-500 times	Verbs	2	1129
26	Seek (Pi.)	בִּקֵּשׁ	26	Verbs occurring 200-500 times	Verbs	2	1245
27	Bless (Pi.)	בֵּרַך	27	Verbs occurring 200-500 times	Verbs	2	1288
28	remember	זָכַר	28	Verbs occurring 200-500 times	Verbs	2	2142
29	Be strong	חָזַק	29	Verbs occurring 200-500 times	Verbs	2	2388
30	sin	חָטָא	30	Verbs occurring 200-500 times	Verbs	2	2398
31	Be alive	חָיָה	31	Verbs occurring 200-500 times	Verbs	2	2421
32	Be able	יָכֹל	32	Verbs occurring 200-500 times	Verbs	2	3201
33	add	יָסַף	33	Verbs occurring 200-500 times	Verbs	2	3254
34	Fear, be afraid	יָרֵא	34	Verbs occurring 200-500 times	Verbs	2	3372
35	Go down	יָרַד	35	Verbs occurring 200-500 times	Verbs	2	3381
36	Possess, subdue	יָרַשׁ	36	Verbs occurring 200-500 times	Verbs	2	3423
37	Help, deliver (Hi.)	ישׁע	37	Verbs occurring 200-500 times	Verbs	2	3467
38	Be firm	כּוּן	38	Verbs occurring 200-500 times	Verbs	2	3559
39	cease	כָּלָה	39	Verbs occurring 200-500 times	Verbs	2	3615
40	Cut off	כָּרַת	40	Verbs occurring 200-500 times	Verbs	2	3772
41	write	כָּתַב	41	Verbs occurring 200-500 times	Verbs	2	3789
42	Be full	מָלֵא	42	Verbs occurring 200-500 times	Verbs	2	4390
43	Be king, reign	מָלַך	43	Verbs occurring 200-500 times	Verbs	2	4427
44	Find, meet	מָצָא	44	Verbs occurring 200-500 times	Verbs	2	4672
45	Make known, tell (Hi.)	נגד	45	Verbs occurring 200-500 times	Verbs	2	5046
46	Stretch out, extend	נָטָה	46	Verbs occurring 200-500 times	Verbs	2	5186
47	Smite (Hi.)	נכה	47	Verbs occurring 200-500 times	Verbs	2	5221
48	fall	נָפַל	48	Verbs occurring 200-500 times	Verbs	2	5307
49	Serve, work	עָבַד	49	Verbs occurring 200-500 times	Verbs	2	5647
50	Pass, go over	עָבַר	50	Verbs occurring 200-500 times	Verbs	2	5674
51	stand	עָמַד	51	Verbs occurring 200-500 times	Verbs	2	5975
52	Answer, reply	עָנָה	52	Verbs occurring 200-500 times	Verbs	2	6031
53	Visit, number	פָּקַד	53	Verbs occurring 200-500 times	Verbs	2	6485
54	Command (Pi.)	צִוָּה	54	Verbs occurring 200-500 times	Verbs	2	6680
55	Rise, stand	קוּם	55	Verbs occurring 200-500 times	Verbs	2	6965
56	Become great	רָבָה	56	Verbs occurring 200-500 times	Verbs	2	7235
57	Be high, exalted	רוּם	57	Verbs occurring 200-500 times	Verbs	2	7311
58	Keep, watch	שָׁמַר	58	Verbs occurring 200-500 times	Verbs	2	8104
59	drink	שָׁתָה	59	Verbs occurring 200-500 times	Verbs	2	8354
60	Perish	אָבַד	60	Verbs occurring 100-200 times	Verbs	3	6
61	Be firm, faithful, believe, trust	אמן	61	Verbs occurring 100-200 times	Verbs	3	539
62	Be ashamed	בּוֹשׁ	62	Verbs occurring 100-200 times	Verbs	3	954
63	trust	בָּטַח	63	Verbs occurring 100-200 times	Verbs	3	982
64	understand	בִּין	64	Verbs occurring 100-200 times	Verbs	3	995
65	weep	בָּכָה	65	Verbs occurring 100-200 times	Verbs	3	1058
66	redeem	גָּאַל	66	Verbs occurring 100-200 times	Verbs	3	1350
67	Be great, strong	גָּדַל	67	Verbs occurring 100-200 times	Verbs	3	1431
68	sojourn	גּוּר	68	Verbs occurring 100-200 times	Verbs	3	1482
69	Reveal, uncover	גָּלָה	69	Verbs occurring 100-200 times	Verbs	3	1540
70	seek	דָּרַשׁ	70	Verbs occurring 100-200 times	Verbs	3	1875
71	Praise (Pi)	הִלֵּל	71	Verbs occurring 100-200 times	Verbs	3	1985
72	kill	הָרַג	72	Verbs occurring 100-200 times	Verbs	3	2026
73	Slaughter, sacrifice	זָבַח	73	Verbs occurring 100-200 times	Verbs	3	2076
74	Be polluted, begin (Ni)	חלל	74	Verbs occurring 100-200 times	Verbs	3	2490
75	encamp	חָנָה	75	Verbs occurring 100-200 times	Verbs	3	2583
76	Think, regard	חָשַׁב	76	Verbs occurring 100-200 times	Verbs	3	2803
77	Be unclean (ceremonially)	טָמֵא	77	Verbs occurring 100-200 times	Verbs	3	2930
78	Praise, confess (Hi)	ידה	78	Verbs occurring 100-200 times	Verbs	3	3034
79	Be good, well	יָטַב	79	Verbs occurring 100-200 times	Verbs	3	3190
80	Be left, remain (Ni)	יתר	80	Verbs occurring 100-200 times	Verbs	3	3492
81	Be heavy	כָּבֵד	81	Verbs occurring 100-200 times	Verbs	3	3513
82	Cover, conceal	כָּסָה	82	Verbs occurring 100-200 times	Verbs	3	3680
83	Cover, atone	כָּפַר	83	Verbs occurring 100-200 times	Verbs	3	3722
84	Put on, clothe	לָבֵשׁ	84	Verbs occurring 100-200 times	Verbs	3	3847
85	fight	לחם	85	Verbs occurring 100-200 times	Verbs	3	3898
86	Speak or act as a prophet (Ni)	נבא	86	Verbs occurring 100-200 times	Verbs	3	5012
87	Touch (Ni)	נָגַע	87	Verbs occurring 100-200 times	Verbs	3	5060
88	approach	נָגַשׁ	88	Verbs occurring 100-200 times	Verbs	3	5066
89	flee	נוּס	89	Verbs occurring 100-200 times	Verbs	3	5127
90	Pull out, depart	נָסַע	90	Verbs occurring 100-200 times	Verbs	3	5265
91	Snatch, deliver	נצל	91	Verbs occurring 100-200 times	Verbs	3	5337
92	Turn, surround	סָבַב	92	Verbs occurring 100-200 times	Verbs	3	5437
93	Turn aside (Hi)	סוּר	93	Verbs occurring 100-200 times	Verbs	3	5493
94	Count, write	סָפַר	94	Verbs occurring 100-200 times	Verbs	3	5608
95	abandon	עָזַב	95	Verbs occurring 100-200 times	Verbs	3	5800
96	Turn towards	פָּנָה	96	Verbs occurring 100-200 times	Verbs	3	6437
97	Collect, assemble	קָבַץ	97	Verbs occurring 100-200 times	Verbs	3	6908
98	bury	קָבַר	98	Verbs occurring 100-200 times	Verbs	3	6912
99	Be holy	קָדַשׁ	99	Verbs occurring 100-200 times	Verbs	3	6942
100	Make to smoke (Pi)	קִטֵּר	100	Verbs occurring 100-200 times	Verbs	3	7002
101	Come near, approach	קָרַב	101	Verbs occurring 100-200 times	Verbs	3	7126
102	Pursue, persecute	רָדַף	102	Verbs occurring 100-200 times	Verbs	3	7291
103	run	רוּץ	103	Verbs occurring 100-200 times	Verbs	3	7323
104	Feed, tend	רָעָה	104	Verbs occurring 100-200 times	Verbs	3	7462
105	Be glad, rejoice	שָׁמַח	105	Verbs occurring 100-200 times	Verbs	3	8055
106	hate	שָׁנֵא	106	Verbs occurring 100-200 times	Verbs	3	8130
107	burn	שָׂרַף	107	Verbs occurring 100-200 times	Verbs	3	8313
108	Ask, inquire	שָׁאַל	108	Verbs occurring 100-200 times	Verbs	3	7592
109	remain	שָׁאַר	109	Verbs occurring 100-200 times	Verbs	3	7604
110	Swear (Ni)	שׁבע	110	Verbs occurring 100-200 times	Verbs	3	7646
111	Break in pieces	שָׁבַר	111	Verbs occurring 100-200 times	Verbs	3	7665
112	Bow down	שָׁחָה	112	Verbs occurring 100-200 times	Verbs	3	7812
113	Ruin, destroy (Pi)(Hi)	שׁחת	113	Verbs occurring 100-200 times	Verbs	3	7843
114	Lie down	שָׁכַב	114	Verbs occurring 100-200 times	Verbs	3	7901
115	forget	שָׁכַח	115	Verbs occurring 100-200 times	Verbs	3	7911
116	Dwell, settle down	שָׁכֵן	116	Verbs occurring 100-200 times	Verbs	3	7934
117	Cast, throw (Hi)	שׁלך	117	Verbs occurring 100-200 times	Verbs	3	7993
118	Be whole, complete	שָׁלֵם	118	Verbs occurring 100-200 times	Verbs	3	7999
119	judge	שָׁפַט	119	Verbs occurring 100-200 times	Verbs	3	8199
120	Pour out	שָׁפַך	120	Verbs occurring 100-200 times	Verbs	3	8210
121	Minister, serve (Pi)	שֵׁרֵת	121	Verbs occurring 100-200 times	Verbs	3	8334
122	Be willing	אָבָה	122	Verbs occurring 50-100 times	Verbs	4	14
123	Seize, grasp	אָחַז	123	Verbs occurring 50-100 times	Verbs	4	270
124	Bind	אָסַר	124	Verbs occurring 50-100 times	Verbs	4	631
125	Curse	אָרַר	125	Verbs occurring 50-100 times	Verbs	4	779
126	Choose	בָּחַר	126	Verbs occurring 50-100 times	Verbs	4	977
127	Swallow	בָּלַע	127	Verbs occurring 50-100 times	Verbs	4	1104
128	Burn	בָּעַר	128	Verbs occurring 50-100 times	Verbs	4	1197
129	Split	בָּקַע	129	Verbs occurring 50-100 times	Verbs	4	1234
130	Creates	בָּרָא	130	Verbs occurring 50-100 times	Verbs	4	1254
131	Flee	בָּרַח	131	Verbs occurring 50-100 times	Verbs	4	1272
132	Cling to	דָּבַק	132	Verbs occurring 50-100 times	Verbs	4	1692
133	Turn, overthrow	הָפַך	133	Verbs occurring 50-100 times	Verbs	4	2015
134	Commit fornication	זָנָה	134	Verbs occurring 50-100 times	Verbs	4	2181
135	Cry out	זָעַק	135	Verbs occurring 50-100 times	Verbs	4	2199
136	Sow	זָרַע	136	Verbs occurring 50-100 times	Verbs	4	2232
137	Cease	חָדַל	137	Verbs occurring 50-100 times	Verbs	4	2308
138	Writhe, tremble	חוּל חִילּ	138	Verbs occurring 50-100 times	Verbs	4	2342
139	See, gaze at	חָזָה	139	Verbs occurring 50-100 times	Verbs	4	2372
140	Be sick or weak	חָלָה	140	Verbs occurring 50-100 times	Verbs	4	2470
141	Divide	חָלַק	141	Verbs occurring 50-100 times	Verbs	4	2505
142	Be gracious, favor	חָנַן	142	Verbs occurring 50-100 times	Verbs	4	2603
143	Delight, take please in	חָפֵץ	143	Verbs occurring 50-100 times	Verbs	4	2654
144	Be angry, burn	חָרָה	144	Verbs occurring 50-100 times	Verbs	4	2734
145	Devote, destroy (Hi)	הרם	145	Verbs occurring 50-100 times	Verbs	4	2036
146	Plow, engrave	חָרַשׁ	146	Verbs occurring 50-100 times	Verbs	4	2790
147	Be shattered, terrified	חָתַת	147	Verbs occurring 50-100 times	Verbs	4	2865
148	Be clean	טָהֵר	148	Verbs occurring 50-100 times	Verbs	4	2891
149	Be dry	יָבֵשׁ	149	Verbs occurring 50-100 times	Verbs	4	3001
150	Reprove (Hi)	יכח	150	Verbs occurring 50-100 times	Verbs	4	3198
151	Advise	יָעַץ	151	Verbs occurring 50-100 times	Verbs	4	3289
152	Pour out	יָצַק	152	Verbs occurring 50-100 times	Verbs	4	3332
153	Form, shape	יָצַר	153	Verbs occurring 50-100 times	Verbs	4	3334
154	Cast, teach	יָרָה	154	Verbs occurring 50-100 times	Verbs	4	3384
155	Wash, clean (Pi)	כִּבֶּס	155	Verbs occurring 50-100 times	Verbs	4	3526
156	Be discontent	כָּעַס	156	Verbs occurring 50-100 times	Verbs	4	3707
157	Stumble	כָּשַׁל	157	Verbs occurring 50-100 times	Verbs	4	3782
158	Spend the night	לוּן לִין	158	Verbs occurring 50-100 times	Verbs	4	3885
159	Seize, capture	לָכַד	159	Verbs occurring 50-100 times	Verbs	4	3920
160	Learn	לָמַד	160	Verbs occurring 50-100 times	Verbs	4	3925
161	Reject, refuse	מָאַס	161	Verbs occurring 50-100 times	Verbs	4	3988
162	Measure	מָדַד	162	Verbs occurring 50-100 times	Verbs	4	4058
163	Hasten (Pi)	מִהַר	163	Verbs occurring 50-100 times	Verbs	4	4116
164	Sell	מָכַר	164	Verbs occurring 50-100 times	Verbs	4	4376
165	Escape (Ni), save (Pi)	מלט	165	Verbs occurring 50-100 times	Verbs	4	4422
166	Anoint	מָשַׁח	166	Verbs occurring 50-100 times	Verbs	4	4886
167	Rule	מָשַׁל	167	Verbs occurring 50-100 times	Verbs	4	4910
168	Look (Hi)	נבט	168	Verbs occurring 50-100 times	Verbs	4	5027
169	Drive out, scatter (Ni) (Hi)	נדח	169	Verbs occurring 50-100 times	Verbs	4	5080
170	Rest	נוּחַ	170	Verbs occurring 50-100 times	Verbs	4	5117
171	Possess, inherit	נָחַל	171	Verbs occurring 50-100 times	Verbs	4	5157
172	Plant	נָטַע	172	Verbs occurring 50-100 times	Verbs	4	5193
173	Be strange, noticed, known (Hi) (Ni)	נכר	173	Verbs occurring 50-100 times	Verbs	4	5234
174	Set up, erect (Hi) (Ni)	נצב	174	Verbs occurring 50-100 times	Verbs	4	5324
175	Lead, direct (Pi)	נִצַּח	175	Verbs occurring 50-100 times	Verbs	4	5329
176	Keep, watch	נָצַר	176	Verbs occurring 50-100 times	Verbs	4	5341
177	Reach, overtake (Hi)	נשׂג	177	Verbs occurring 50-100 times	Verbs	4	5381
178	Shut, close	סָגַר	178	Verbs occurring 50-100 times	Verbs	4	5462
179	Conceal, hide (Ni)	סתר	179	Verbs occurring 50-100 times	Verbs	4	5641
180	awake, arouse (Hi)	עוּר	180	Verbs occurring 50-100 times	Verbs	4	5782
181	Help	עָזַר	181	Verbs occurring 50-100 times	Verbs	4	5826
182	Be afflicted	עָנָה	182	Verbs occurring 50-100 times	Verbs	4	6031
183	Arrange, set in order	עַָרַך	183	Verbs occurring 50-100 times	Verbs	4	6186
184	Redeem, ransom	פָּדָה	184	Verbs occurring 50-100 times	Verbs	4	6299
185	Scatter, disperse	פּוּץ	185	Verbs occurring 50-100 times	Verbs	4	6327
186	Separate, be wonderful (Pi)(Hi)(Ni)	פלא	186	Verbs occurring 50-100 times	Verbs	4	6381
187	Pray (Hith)	פלל	187	Verbs occurring 50-100 times	Verbs	4	6419
188	Do, make	פָּעַל	188	Verbs occurring 50-100 times	Verbs	4	6466
189	separate	פָּרַד	189	Verbs occurring 50-100 times	Verbs	4	6504
190	Spread out	פָּרַשׂ	190	Verbs occurring 50-100 times	Verbs	4	6566
191	Succeed, prosper	צָלַח	191	Verbs occurring 50-100 times	Verbs	4	6743
192	Cry out	צָעַק	192	Verbs occurring 50-100 times	Verbs	4	6817
193	Watch, overlay	צָפָה	193	Verbs occurring 50-100 times	Verbs	4	6822
194	Be distressed, bound	צָרַר	194	Verbs occurring 50-100 times	Verbs	4	6887
195	Be light, of no account	קַל(ל)	195	Verbs occurring 50-100 times	Verbs	4	7043
196	Acquire, buy	קָנָה	196	Verbs occurring 50-100 times	Verbs	4	7069
197	tear	קָרַע	197	Verbs occurring 50-100 times	Verbs	4	7167
198	Love, have compassion	רָחַם	198	Verbs occurring 50-100 times	Verbs	4	7355
199	Wash	רָחַץ	199	Verbs occurring 50-100 times	Verbs	4	7364
200	Be far off	רָחַק	200	Verbs occurring 50-100 times	Verbs	4	7368
201	Contend, conduct a legal case	רִיב	201	Verbs occurring 50-100 times	Verbs	4	7378
202	Ride	רָכַב	202	Verbs occurring 50-100 times	Verbs	4	7392
203	Cry out for joy	רָנַן	203	Verbs occurring 50-100 times	Verbs	4	7442
204	Be bad	רַע(ע)	204	Verbs occurring 50-100 times	Verbs	4	7465
205	Heal	רָפָא	205	Verbs occurring 50-100 times	Verbs	4	7498
206	Be pleased	רָצָה	206	Verbs occurring 50-100 times	Verbs	4	7521
207	Have enough	שָׂבַע	207	Verbs occurring 50-100 times	Verbs	4	7646
208	(Hi.) Comprehend, prosper	שׂכל	208	Verbs occurring 50-100 times	Verbs	4	7919
209	Cease, rest	שָׁבַת	209	Verbs occurring 50-100 times	Verbs	4	7673
210	Devastate	שָׁדַד	210	Verbs occurring 50-100 times	Verbs	4	7703
211	slaughter	שָׁחַט	211	Verbs occurring 50-100 times	Verbs	4	7819
212	Sing	שִׁיר	212	Verbs occurring 50-100 times	Verbs	4	7891
213	Put, set	שִׁית	213	Verbs occurring 50-100 times	Verbs	4	7896
214	(Hi.) Rise early	שׁכם	214	Verbs occurring 50-100 times	Verbs	4	7925
215	(Ni. Hi.) Destroy	שׁמד	215	Verbs occurring 50-100 times	Verbs	4	8045
216	Be desolate, appalled	שָׁמַם	216	Verbs occurring 50-100 times	Verbs	4	8074
217	(Hi.) Give to drink	שׁקה	217	Verbs occurring 50-100 times	Verbs	4	8248
218	Be complete	תָּמַם	218	Verbs occurring 50-100 times	Verbs	4	8552
219	Catch, seize	תָּפַשׂ	219	Verbs occurring 50-100 times	Verbs	4	8610
220	Strike, drive, blow (a trumpet)	תָּקַע	220	Verbs occurring 50-100 times	Verbs	4	8628
221	Mourn	אָבַל	221	Verbs occurring 25-50 times	Verbs	5	56
222	Long for, wish for, desire (Pi) (Hith)	אוה	222	Verbs occurring 25-50 times	Verbs	5	183
223	Shine, be light	אוֹר	223	Verbs occurring 25-50 times	Verbs	5	215
224	Listen (Hi)	אזן	224	Verbs occurring 25-50 times	Verbs	5	238
225	Be firm, strong	אָמַץ	225	Verbs occurring 25-50 times	Verbs	5	553
226	Bake	אָפָה	226	Verbs occurring 25-50 times	Verbs	5	644
227	Lie in ambush	אָרַב	227	Verbs occurring 25-50 times	Verbs	5	693
228	Be long	אָרַך	228	Verbs occurring 25-50 times	Verbs	5	748
229	Be guilty	אָשַׁם	229	Verbs occurring 25-50 times	Verbs	5	816
230	Act treacherously	בָּגַד	230	Verbs occurring 25-50 times	Verbs	5	898
231	Divide, separate (Hi)(Ni)	בּדל	231	Verbs occurring 25-50 times	Verbs	5	914
232	Be terrified, hasten (Ni)	בּהל	232	Verbs occurring 25-50 times	Verbs	5	926
233	Despise	בָּזָה	233	Verbs occurring 25-50 times	Verbs	5	959
234	Plunder	בָּזַז	234	Verbs occurring 25-50 times	Verbs	5	962
235	Try, examine	בָּחַן	235	Verbs occurring 25-50 times	Verbs	5	974
236	Mix, confound	בָּלַל	236	Verbs occurring 25-50 times	Verbs	5	1101
237	Cut off, fortify	בָּצַר	237	Verbs occurring 25-50 times	Verbs	5	1219
238	Boil	בָּשַׁל	238	Verbs occurring 25-50 times	Verbs	5	1310
239	Be high, exalted	גָּבַהּ	239	Verbs occurring 25-50 times	Verbs	5	1361
240	Tear away, rob	גָּזַל	240	Verbs occurring 25-50 times	Verbs	5	1497
241	Exult, triumph over	גִּיל	241	Verbs occurring 25-50 times	Verbs	5	1523
242	Deal fully, render to	גָּמַל	242	Verbs occurring 25-50 times	Verbs	5	1580
243	Steal	גָּנַב	243	Verbs occurring 25-50 times	Verbs	5	1589
244	Drive out	גָּרַשׁ	244	Verbs occurring 25-50 times	Verbs	5	1644
245	Be like, be silent	דָּמָה	245	Verbs occurring 25-50 times	Verbs	5	1819
246	Be silent	דָּמַם	246	Verbs occurring 25-50 times	Verbs	5	1826
247	Mutter, meditate	הָגָה	247	Verbs occurring 25-50 times	Verbs	5	1897
248	Make noise	הָמָה	248	Verbs occurring 25-50 times	Verbs	5	1993
249	Conceive, be pregnant	הָרָה	249	Verbs occurring 25-50 times	Verbs	5	2029
250	Break, tear down	הָרַס	250	Verbs occurring 25-50 times	Verbs	5	2040
251	Flow	זוּב	251	Verbs occurring 25-50 times	Verbs	5	2100
252	Sing with instrumental accompaniment (Pi)	זִמֵּר	252	Verbs occurring 25-50 times	Verbs	5	2167
253	Be old	זָקֵן	253	Verbs occurring 25-50 times	Verbs	5	2204
254	Scatter, winnow	זָרָה	254	Verbs occurring 25-50 times	Verbs	5	2219
255	Sprinkle, toss	זָרַק	255	Verbs occurring 25-50 times	Verbs	5	2236
256	Hide (Ni)	חבא	256	Verbs occurring 25-50 times	Verbs	5	2244
257	Join, associate	חָבַר	257	Verbs occurring 25-50 times	Verbs	5	2266
258	Join, associate	חָבַר	257	Verbs occurring 25-50 times	Verbs	5	2266
259	Bind, gird	חָבַשׁ	258	Verbs occurring 25-50 times	Verbs	5	2280
260	Bind, gird	חָבַשׁ	258	Verbs occurring 25-50 times	Verbs	5	2280
261	Gird	חָגַר	259	Verbs occurring 25-50 times	Verbs	5	2296
262	Gird	חָגַר	259	Verbs occurring 25-50 times	Verbs	5	2296
263	Be wise, act wisely	חָכַם	260	Verbs occurring 25-50 times	Verbs	5	2449
264	Be wise, act wisely	חָכַם	260	Verbs occurring 25-50 times	Verbs	5	2449
265	Dream	חָלַם	261	Verbs occurring 25-50 times	Verbs	5	2492
266	Dream	חָלַם	261	Verbs occurring 25-50 times	Verbs	5	2492
267	Pass on, over, or away	חָלַף	262	Verbs occurring 25-50 times	Verbs	5	2498
268	Pass on, over, or away	חָלַף	262	Verbs occurring 25-50 times	Verbs	5	2498
269	Strip	חָלַץ	263	Verbs occurring 25-50 times	Verbs	5	2502
270	Strip	חָלַץ	263	Verbs occurring 25-50 times	Verbs	5	2502
271	Pity, spare	חָמַל	264	Verbs occurring 25-50 times	Verbs	5	2550
272	Pity, spare	חָמַל	264	Verbs occurring 25-50 times	Verbs	5	2550
